# fs=400.0
t,ax,ay,az
1.066244,482,-64,2311
1.066350,432,-115,2311
1.066436,528,-66,2327
1.066524,404,-156,2292
1.066614,482,-461,2317
1.066709,601,-672,2293
1.066797,536,-795,2304
1.066890,519,-807,2272
1.066986,491,-719,2307
1.067081,447,-557,2306
1.067174,419,-502,2316
1.067267,448,-391,2319
1.067362,562,-269,2285
1.067455,466,-268,2356
1.067548,487,-249,2321
1.067641,654,-201,2251
1.097947,569,-169,2359
1.098058,582,-66,2324
1.098149,693,348,2292
1.098239,331,430,2327
1.098327,352,349,2299
1.098415,395,455,2316
1.098510,408,376,2264
1.098603,364,389,2297
1.098690,394,296,2294
1.098791,416,211,2297
1.098876,425,97,2277
1.098960,428,17,2304
1.099049,434,-36,2307
1.099137,417,-59,2298
1.099225,441,-90,2306
1.138058,478,-70,2316
1.138173,510,-169,2309
1.138268,513,-152,2295
1.138360,468,-121,2323
1.138448,518,-95,2310
1.138535,480,-69,2303
1.138623,510,-93,2302
1.138718,460,-68,2285
1.138806,403,23,2295
1.138897,447,55,2303
1.138987,419,42,2310
1.139075,454,23,2291
1.139168,453,-19,2302
1.139260,421,-44,2295
1.139353,432,-44,2306
1.139446,451,-35,2299
1.139538,434,-44,2313
1.173182,454,-32,2303
1.173303,443,-61,2309
1.173408,458,-83,2316
1.173508,469,-85,2310
1.173609,431,-49,2294
1.173721,369,-54,2311
1.173822,375,-14,2314
1.173926,383,-49,2306
1.174034,401,-41,2323
1.174145,400,-53,2311
1.174255,414,-47,2302
1.174363,407,-58,2302
1.174471,423,-72,2291
1.193991,441,-89,2317
1.194120,427,-118,2317
1.194227,426,-94,2293
1.194334,425,-102,2308
1.194439,427,-102,2306
1.194546,428,-104,2304
1.194648,431,-88,2295
1.194756,416,-92,2286
1.194863,495,-105,2360
1.194954,460,7,2293
1.233746,483,-69,2292
1.233854,441,-88,2298
1.233948,460,-95,2308
1.234038,455,-81,2295
1.234125,455,-80,2301
1.234213,457,-86,2318
1.234300,472,-84,2292
1.234387,456,-92,2303
1.234474,448,-79,2293
1.234561,436,-81,2298
1.234648,454,-83,2301
1.234750,451,-86,2305
1.234844,452,-108,2299
1.234937,467,-75,2295
1.235029,455,-93,2314
1.235121,445,-86,2306
1.273153,440,-86,2285
1.273259,448,-90,2303
1.273350,440,-92,2305
1.273443,446,-100,2288
1.273530,434,-98,2300
1.273618,431,-88,2306
1.273738,405,-111,2301
1.273832,379,-119,2312
1.273924,337,-119,2301
1.274018,344,-119,2313
1.274112,321,-124,2315
1.274203,313,-133,2294
1.274294,347,-112,2299
1.274385,374,-148,2293
1.274463,457,7,2305
1.274552,709,208,2300
1.313728,586,40,2302
1.313839,696,-55,2303
1.313941,1047,-137,2310
1.314032,834,-49,2297
1.314125,599,-223,2337
1.314219,712,-271,2298
1.314311,837,-357,2295
1.314403,804,-305,2307
1.314495,701,-186,2288
1.314578,534,18,2390
1.314669,519,-42,2271
1.314763,579,-20,2252
1.314846,522,40,2272
1.314929,534,70,2278
1.315012,599,80,2331
1.315095,600,67,2307
1.356281,570,98,2310
1.356388,513,117,2358
1.356478,508,103,2392
1.356561,476,85,2399
1.356653,593,150,2379
1.356749,581,219,2462
1.356838,436,219,2474
1.356929,345,117,2476
1.357029,172,-185,2447
1.357128,368,-764,1787
1.357227,249,-340,2211
1.357320,71,-259,2557
1.357413,52,-123,2653
1.357511,109,-182,2617
1.357611,268,-273,2516
1.357716,411,-237,2769
1.374503,365,-181,2399
1.374640,481,-184,2503
1.374767,461,-53,2412
1.374878,370,-35,2451
1.374988,270,-76,2366
1.375098,259,-96,2343
1.375213,297,-107,2271
1.375322,302,-82,2260
1.398534,379,-40,2249
1.398634,343,-33,2244
1.398723,261,-3,2305
1.398806,206,-4,2357
1.398894,185,-38,2470
1.398981,153,-79,2584
1.399073,140,-114,2706
1.399165,145,-133,2773
1.399256,100,-118,2864
1.438626,59,-138,2931
1.438740,-94,-224,3152
1.438840,-226,-346,3130
1.438938,-160,-262,3222
1.439035,-120,-191,3341
1.439127,-72,-130,3339
1.439215,-36,-66,3320
1.439294,43,-8,3305
1.439371,92,25,3268
1.439455,154,25,3272
1.439537,213,39,3286
1.439620,260,52,3316
1.439720,293,90,3365
1.439810,323,109,3419
1.439897,317,127,3465
1.439987,328,119,3458
1.440073,299,107,3412
1.440155,298,29,3279
1.483426,248,14,3252
1.483528,126,35,3269
1.483610,70,31,3275
1.483686,61,0,3217
1.483796,32,-3,3198
1.483881,-21,-7,3255
1.483971,-60,-18,3276
1.484063,-110,-38,3273
1.484156,-119,-62,3280
1.484248,-145,-54,3317
1.484340,-174,-48,3320
1.484432,-203,-34,3344
1.484524,-225,-20,3372
1.484611,-235,-5,3436
1.484706,-241,11,3485
1.484796,-242,40,3557
1.484882,-228,40,3599
1.502801,-252,47,3663
1.502916,-240,46,3713
1.503018,-262,15,3779
1.503118,-268,-6,3808
1.503223,-289,-44,3879
1.503328,-287,-67,3916
1.503431,-279,-91,3984
1.503543,-268,-104,4009
1.536091,-251,-112,4027
1.536200,-256,-90,4004
1.536299,-256,-61,4018
1.536388,-275,-2,4045
1.536476,-314,14,3999
1.536559,-317,4,3953
1.536645,-326,15,3944
1.536742,-314,-6,3928
1.536835,-308,-35,3881
1.536927,-320,-50,3850
1.537018,-307,-48,3815
1.537110,-308,-50,3798
1.552186,-344,-45,3729
1.552299,-348,-41,3664
1.552396,-366,-43,3575
1.552490,-356,-62,3516
1.552582,-347,-82,3418
1.552674,-333,-87,3340
1.583333,-284,-104,3171
1.583441,-256,-100,3022
1.583534,-222,-104,2944
1.583625,-198,-106,2802
1.583723,-194,-111,2695
1.583815,-212,-108,2530
1.583906,-217,-115,2435
1.583999,-220,-129,2293
1.584090,-212,-139,2215
1.584182,-201,-171,2108
1.584273,-191,-191,2056
1.584364,-139,-211,1961
1.584454,-117,-224,1897
1.622254,-90,-245,1809
1.622364,-65,-237,1746
1.622460,-44,-254,1675
1.622555,-25,-261,1650
1.622642,32,-292,1532
1.622737,45,-309,1439
1.622825,99,-315,1335
1.622919,123,-317,1261
1.623011,171,-291,1122
1.623103,208,-293,1049
1.623190,254,-305,921
1.623279,275,-318,838
1.623368,328,-311,698
1.623456,363,-306,614
1.623543,399,-305,487
1.623630,418,-316,403
1.662549,451,-307,285
1.662648,492,-323,237
1.662743,528,-319,120
1.662821,535,-321,49
1.662904,593,-349,-35
1.662992,617,-361,-154
1.663078,648,-391,-217
1.663165,671,-375,-276
1.663251,708,-406,-421
1.663337,718,-406,-482
1.663423,746,-426,-559
1.663508,770,-432,-625
1.663593,802,-442,-727
1.695815,851,-457,-845
1.695910,863,-480,-895
1.695994,894,-478,-925
1.696077,918,-485,-937
1.696160,923,-488,-965
1.696243,919,-465,-963
1.696325,939,-479,-988
1.696407,943,-466,-981
1.696488,953,-481,-974
1.696571,945,-460,-986
1.696653,961,-459,-963
1.712436,965,-477,-898
1.712544,950,-484,-866
1.712640,954,-491,-805
1.712743,943,-490,-748
1.712838,960,-502,-686
1.712931,971,-522,-631
1.734423,971,-516,-562
1.734535,975,-518,-490
1.734632,956,-527,-405
1.734736,927,-516,-315
1.734830,905,-505,-178
1.734925,894,-513,-56
1.735021,881,-502,107
1.735114,892,-500,234
1.735209,899,-480,401
1.735303,929,-466,527
1.735397,980,-433,699
1.735497,1007,-397,799
1.735599,1058,-338,923
1.772706,1108,-298,1033
1.772831,1179,-219,1141
1.772938,1222,-154,1210
1.773038,1290,-33,1322
1.773132,1334,53,1392
1.773232,1377,172,1484
1.773332,1398,232,1560
1.773429,1426,317,1688
1.773527,1452,361,1794
1.773624,1486,416,1975
1.773727,1487,457,2089
1.773825,1483,499,2288
1.773923,1460,484,2410
1.817264,1385,475,2629
1.817375,1325,435,2767
1.817470,1185,375,2998
1.817563,1076,367,3205
1.817650,984,283,3416
1.817744,884,255,3650
1.817832,717,209,3939
1.817922,606,170,4163
1.818011,498,72,4496
1.818094,454,2,4690
1.818188,403,-57,4961
1.857966,396,-31,5126
1.858074,371,-9,5420
1.858166,347,-6,5566
1.858254,372,-6,5794
1.858338,371,4,5896
1.858422,388,4,6031
1.858587,384,23,6123
1.858676,449,49,6221
1.858859,494,-108,6106
1.858968,234,173,6064
1.859062,229,193,6169
1.859150,223,133,6188
1.859234,195,81,6155
1.859316,236,33,6183
1.859395,249,7,6154
1.859484,219,-12,6098
1.859572,203,-34,6076
1.859660,130,-29,5991
1.859760,100,-31,5953
1.859848,94,-101,5820
1.859942,127,-141,5733
1.898302,137,-180,5580
1.898408,140,-203,5495
1.898497,161,-219,5346
1.898584,192,-226,5234
1.898671,208,-181,5084
1.898762,236,-182,4945
1.898846,252,-169,4757
1.898933,274,-188,4620
1.899018,303,-218,4401
1.899105,302,-214,4291
1.899191,293,-225,4064
1.899276,294,-203,3949
1.899363,299,-195,3792
1.899451,271,-186,3714
1.899537,247,-193,3587
1.899624,226,-205,3521
1.899714,205,-227,3422
1.899801,173,-236,3378
1.899887,141,-263,3301
1.899972,125,-277,3234
1.939422,92,-330,3121
1.939550,47,-346,3036
1.939659,23,-340,2972
1.939776,16,-372,2875
1.939884,-3,-389,2802
1.939992,-2,-448,2687
1.940096,3,-483,2583
1.940209,-14,-498,2457
1.940322,-23,-492,2378
1.940430,14,-508,2217
1.940537,21,-505,2113
1.975167,24,-509,1959
1.975270,10,-522,1853
1.975360,69,-526,1738
1.975449,87,-533,1639
1.975541,112,-547,1495
1.975633,115,-555,1401
1.975763,158,-555,1266
1.975857,181,-557,1172
1.975949,221,-560,1020
1.976037,235,-559,935
1.989078,299,-553,710
1.989198,322,-526,568
1.989301,400,-567,508
1.989401,405,-525,313
2.027628,462,-541,241
2.027731,520,-567,92
2.027814,541,-585,20
2.027902,603,-613,-116
2.027989,652,-616,-192
2.028075,689,-616,-316
2.028161,704,-625,-385
2.028246,723,-626,-478
